 192.168.1.3
RSSI: -42 dBm
Waiting for NTP time sync
✅ NTP synchronized: 2025-06-28 07:29:56
Initializing sensors...
Initializing I2C (SDA: 8, SCL: 9)...
✓ I2C initialized successfully
Initializing PMS7003 sensor...
Using PMS pins - RX: 16, TX: 17
✅ PMS7003 initialized!
Scanning I2C bus...
I2C device found at address 0x77
I2C scan complete. Found 1 device(s)
Searching for BME688 sensor...
Testing I2C address 0x77... Chip ID: 0x61 (BME688) ✅
✅ Using BME688 at address 0x77
BSEC initialization attempt 1/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 2/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 3/3...
❌ Failed to update BSEC subscription!
❌ BSEC initialization failed after 3 attempts!
❌ Sensor initialization failed!
timestamp,temp_c,humidity_%,pressure_hpa,iaq,co2_ppm,voc_ppm,pm1_0,pm2_5,pm10_0,baseline_ready,spike_detected,signature,total_spikes
2025-06-28 07:41:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:42:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:43:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:44:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:45:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:46:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:47:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:48:55,,,,,,,,,,,NO_SENSORS,NO,,0
ting I2C address 0x77... Chip ID: 0x61 (BME688) ✅
✅ Using BME688 at address 0x77
BSEC initialization attempt 1/3...

Initializing BSEC...
Using I2C address: 0x77
✅ All sensors initialized successfully!
2025-06-28 07:57:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:57:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:57:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:58:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 07:59:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:00:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:01:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:02:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:02:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:02:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:02:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:02:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:02:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:03:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:04:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:05:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:33,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:43,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:06:53,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:07:03,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:07:13,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:07:23,,,,,,,,,,,NO_DATA,NO,,0
2025-06-28 08:07:33,,,,,,,,,,,NO_DATA,NO,,0
BSEC run error: 0
⚠️ BSEC run failed
2025-06-28 08:07:43,,,,,,,,,,,NO_DATA,NO,,0
